key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
283,CM,B,Gonolek à ventre jaune,Yellow-breasted Boubou,Laniarius atroflavus,Laniarius atroflavus,LC,,Gonolek à ventre jaune,Gonolek à ventre jaune,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
284,CM,B,Grand-duc à aigrettes,Fraser's Eagle Owl,Bubo poensis,Bubo poensis,LC,,Grand-duc à aigrettes,Grand-duc à aigrettes,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
285,CM,B,Grand-duc africain,Spotted Eagle Owl,Bubo africanus,Bubo africanus,LC,,N/A,,,,Not extant in country,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
286,CM,B,Grand-duc de Shelley,Shelley's Eagle Owl,Bubo shelleyi,Bubo shelleyi,LC,,Grand-duc de Shelley,Grand-duc de Shelley,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
287,CM,B,Grand-duc de Verreaux,Verreaux's Eagle Owl,Bubo lacteus,Bubo lacteus,LC,,Grand-duc de Verreaux,Grand-duc de Verreaux,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
288,CM,B,Grand-duc tacheté,Akun Eagle Owl,Bubo leucostictus,Bubo leucostictus,LC,,Grand-duc tacheté,Grand-duc tacheté,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
289,CM,B,Gymnogène d'Afrique,African Harrier Hawk,Poloyboroides typus,Polyboroides typus,LC,,Gymnogène d'Afrique,Gymnogène d'Afrique,IUCN,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
290,CM,B,Hibou du Cap,Marsh Owl,Asio capensis,Asio capensis,LC,,Hibou des Marais Africain,Hibou des Marais Africain,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
291,CM,B,NULL,NULL,Hieraaetus pennatus,,,,,,,Duplicate of 213,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
292,CM,B,Hirondelle du forêt,Forest Swallow,Hirundo fuliginosa,Atronanus fuliginosus,LC,,Hirondelle de forêt,Hirondelle de forêt,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
293,CM,B,Inséparable à tête rouge,Red-headed Lovebird,Agapornis pullarius,Agapornis pullarius,LC,,Inséparable à tête rouge,Inséparable à tête rouge,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
294,CM,B,Inséparable à tête rouge,NULL,Agapornis pullarius,,,,,,,Duplicate of 293,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
295,CM,B,Linurge loriot,Oriole Finch,Linurgus olivaceus,Linurgus olivaceus,LC,,Pinson-loriot,Pinson-loriot,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
