scientific_name,Common Name,Species Class,Threat Class
Poiana richardsonii,Central African Oyan,MAMMALIA,LC
Physeter macrocephalus,Sperm Whale,MAMMALIA,VU
Procavia capensis,Rock Hyrax,MAMMALIA,LC
Phacochoerus africanus,Common Warthog,MAMMALIA,LC
Hylochoerus meinertzhageni,Forest Hog,MAMMALIA,LC
Potamochoerus larvatus,Bushpig,MAMMALIA,LC
Potamochoerus porcus,Red River Hog,MAMMALIA,LC
Lepus victoriae,African Savanna Hare,MAMMALIA,LC
Elephantulus brachyrhynchus,Short-snouted Sengi,MAMMALIA,LC
Elephantulus fuscipes,Dusky-footed Sengi,MAMMALIA,DD
Petrodromus tetradactylus,Four-toed Sengi,MAMMALIA,LC
Tragelaphus derbianus,Giant Eland,MAMMALIA,VU
Hipposideros gigas,Giant Leaf-nosed Bat,MAMMALIA,LC
Nycteris parisii,Parisi's Slit-faced Bat,MAMMALIA,DD
Epomophorus crypturus,Peters's Epauletted Fruit Bat,MAMMALIA,LC
Rhinolophus hillorum,Upland Horseshoe Bat,MAMMALIA,NT
Anomalurus beecrofti,Beecroft's Scaly-tailed Squirrel,MAMMALIA,LC
Miniopterus natalensis,Natal Long-fingered Bat,MAMMALIA,LC
Neoromicia brunnea,Dark-brown Serotine,MAMMALIA,NT
Neoromicia capensis,Cape Bat,MAMMALIA,LC
Neoromicia flavescens,Yellow Pipistrelle Bat,MAMMALIA,DD
Neoromicia guineensis,Guinean Pipistrelle Bat,MAMMALIA,LC
Neoromicia nana,Banana Pipistrelle Bat,MAMMALIA,LC
Neoromicia rendalli,Rendall's Serotine,MAMMALIA,LC
Neoromicia somalica,Somali Serotine,MAMMALIA,LC
Neoromicia tenuipinnis,Slenderwinged Pipistrelle Bat,MAMMALIA,LC
Neoromicia zuluensis,Zulu Pipistrelle Bat,MAMMALIA,LC
Acomys johannis,Johan’s Spiny Mouse,MAMMALIA,LC
Arvicanthis rufinus,Guinean Arvicanthis,MAMMALIA,LC
Sylvisorex pluvialis,Rain Forest Shrew,MAMMALIA,DD
Sylvisorex konganensis,Kongana Shrew,MAMMALIA,DD
Hylomyscus grandis,Mt Oku Hylomyscus,MAMMALIA,EN
Lophuromys dieterleni,Dieterlen's Brush-furred Mouse,MAMMALIA,EN
Otomys dartmouthi,Ruwenzori Vlei Rat,MAMMALIA,DD
Thamnomys schoutedeni,Schouteden's Thicket Rat,MAMMALIA,DD
Mastomys kollmannspergeri,Kollmannsperger's Mastomys,MAMMALIA,LC
Ptychadena tellinii,Central Grassland Frog,AMPHIBIA,LC
Arthroleptis adolfifriederici,Rugege Forest Squeaker Frog,AMPHIBIA,LC
Arthroleptis tuberosus,Rainforest Screeching Frog,AMPHIBIA,DD
Arthroleptis variabilis,Buea Screeching Frog,AMPHIBIA,LC
Cardioglossa cyaneospila,Mukuzira Long-fingered Frog,AMPHIBIA,NT
Cardioglossa melanogaster,Amiet's Long-fingered Frog,AMPHIBIA,VU
Cardioglossa oreas,Mount Okou Long-fingered Frog,AMPHIBIA,EN
Cardioglossa pulchra,Black Long-fingered Frog,AMPHIBIA,EN
Cardioglossa schioetzi,Acha Tugi Long-fingered Frog,AMPHIBIA,VU
